0,37120,22272,48256,44544,18560,55680,14848,51968,520,40832,1160,35264,1040,400,33408,280,920,31552,800,29696,680,1280,25984,1200,560,440,1080,24128,53824,50112,16704,12992,27840,46400,320,840,38976,57536,720,1240,600,480,360,1000,240,880,42688,760,0.089718
1,51968,18560,14848,55680,22272,1280,33408,40832,48256,29696,520,1160,37120,35264,1040,400,280,920,800,680,25984,560,1200,24128,440,1080,27840,53824,57536,38976,31552,42688,50112,16704,840,12992,320,720,1240,600,480,360,1000,46400,880,44544,240,760,0.355513
2,44544,22272,51968,18560,55680,48256,29696,40832,520,25984,38976,1160,37120,1040,400,33408,920,280,800,680,1280,560,1200,440,1080,27840,53824,24128,42688,31552,16704,320,35264,840,46400,57536,720,14848,12992,1240,600,50112,480,360,1000,880,240,760,0.088022
3,29696,51968,18560,22272,1280,14848,55680,44544,1160,25984,520,37120,35264,1040,400,33408,280,920,800,680,560,1200,24128,440,1080,27840,53824,38976,31552,16704,320,12992,57536,50112,46400,840,720,600,1240,480,48256,1000,360,240,880,42688,760,40832,0.348196
4,14848,55680,29696,51968,40832,33408,22272,48256,1160,18560,520,37120,35264,1040,400,280,920,800,680,1280,25984,1200,560,440,1080,42688,31552,16704,53824,320,38976,24128,12992,840,27840,57536,720,600,1240,50112,480,360,1000,46400,880,240,44544,760,0.089787
5,37120,48256,18560,55680,25984,44544,22272,40832,520,33408,1160,1040,400,920,280,31552,800,29696,680,1280,560,1200,1080,440,27840,46400,24128,35264,16704,53824,320,50112,840,38976,57536,720,14848,12992,1240,51968,600,480,360,1000,240,880,42688,760,0.352131
6,40832,33408,51968,18560,44544,22272,48256,29696,520,1160,37120,1040,400,920,280,800,680,1280,25984,560,1200,440,1080,27840,53824,35264,46400,24128,50112,16704,38976,840,31552,57536,320,55680,720,14848,12992,600,1240,480,360,1000,880,240,42688,760,0.092089
7,37120,48256,44544,22272,14848,55680,25984,40832,520,29696,1160,1040,400,33408,280,920,800,27840,680,1280,560,1200,1080,440,38976,24128,31552,35264,46400,42688,18560,50112,840,16704,57536,320,720,53824,12992,1240,600,51968,480,1000,360,880,240,760,0.352396
8,37120,48256,22272,44544,18560,51968,55680,25984,520,40832,1160,35264,1040,400,33408,920,280,31552,800,29696,680,1280,1200,560,440,1080,12992,53824,50112,16704,27840,320,24128,46400,840,38976,57536,720,14848,1240,600,480,360,1000,240,880,42688,760,0.089647
9,37120,48256,51968,18560,14848,55680,44544,22272,520,40832,1160,38976,35264,1040,400,33408,280,920,800,29696,680,1280,25984,560,1200,440,1080,42688,31552,16704,50112,27840,53824,46400,320,24128,12992,840,57536,720,1240,600,480,1000,360,880,240,760,0.354535
10,44544,22272,37120,48256,29696,18560,55680,51968,520,1160,1040,400,33408,920,280,800,680,1280,25984,1200,560,24128,1080,440,12992,53824,27840,46400,38976,42688,31552,35264,840,16704,57536,320,720,14848,600,1240,50112,480,360,1000,240,880,760,40832,0.092219
11,25984,44544,18560,55680,29696,51968,14848,22272,520,1160,37120,1040,400,33408,920,280,800,680,1280,1200,560,440,1080,12992,53824,24128,27840,46400,38976,31552,50112,16704,35264,840,320,57536,720,1240,600,480,48256,1000,360,240,880,42688,760,40832,0.354009
12,44544,22272,40832,33408,29696,51968,18560,14848,520,55680,1160,37120,1040,400,920,280,800,27840,680,1280,25984,1200,560,440,1080,38976,24128,53824,12992,35264,46400,31552,50112,840,16704,57536,320,720,600,1240,480,48256,1000,360,880,240,42688,760,0.089794
13,44544,22272,18560,55680,40832,29696,48256,51968,520,1160,37120,1040,400,33408,920,280,800,680,1280,25984,1200,560,440,1080,38976,31552,53824,12992,27840,46400,24128,35264,840,50112,57536,16704,320,720,14848,1240,600,480,360,1000,240,880,42688,760,0.353256
14,22272,48256,29696,44544,18560,25984,40832,51968,520,55680,37120,1160,35264,1040,400,33408,920,280,800,680,1280,560,1200,440,1080,27840,46400,38976,42688,31552,24128,53824,16704,320,840,57536,720,14848,12992,600,1240,50112,480,1000,360,880,240,760,0.09227
15,40832,29696,25984,44544,22272,48256,18560,55680,520,37120,1160,1040,400,33408,920,280,800,680,1280,1200,560,440,1080,12992,53824,27840,42688,38976,31552,24128,35264,840,46400,57536,16704,320,720,14848,600,1240,51968,50112,480,1000,360,240,880,760,0.351481
16,29696,51968,18560,44544,55680,14848,40832,33408,1160,25984,520,37120,35264,1040,400,920,280,31552,800,680,1280,1200,560,440,1080,22272,38976,16704,53824,320,27840,46400,24128,12992,840,42688,57536,720,600,1240,50112,480,48256,1000,360,880,240,760,0.089771
17,29696,55680,51968,18560,22272,48256,40832,33408,1160,37120,520,1040,400,280,920,800,27840,680,1280,25984,1200,560,440,1080,38976,24128,53824,50112,16704,35264,46400,42688,840,31552,57536,320,720,14848,12992,600,1240,480,360,1000,880,240,44544,760,0.353134
18,44544,29696,18560,51968,55680,25984,40832,33408,1160,520,37120,1040,400,920,280,800,680,1280,1200,560,440,1080,22272,50112,16704,24128,12992,53824,38976,31552,27840,840,35264,57536,320,720,14848,600,1240,480,48256,1000,360,46400,240,880,42688,760,0.091759
